05/06/25 11:44:50.015 AM [108364|69208] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/06/25 11:44:50.018 AM [108364|69208] [info] ProcessName: Fcm.Apps.DealInsight.exe
05/06/25 11:44:50.018 AM [108364|69208] [info] Process CommandLine: "\\FCSFDIGASD1\TemporaryData\DI_ROBB\Fcm.Apps.DealInsight.exe" 
05/06/25 11:44:50.018 AM [108364|69208] [info] Environment variables:
05/06/25 11:44:50.018 AM [108364|69208] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/06/25 11:44:50.018 AM [108364|69208] [info]   DD_ENV=dev1
05/06/25 11:44:50.018 AM [108364|69208] [info]   DD_VERSION=7.64.3
05/06/25 11:44:50.018 AM [108364|69208] [info] Runtime Information: .NET Framework 4.0.30319
05/06/25 11:44:50.019 AM [108364|108100] [info] Initializing ReJIT request thread.
05/06/25 11:44:50.019 AM [108364|69208] [info] IAST Callsite instrumentation is disabled.
05/06/25 11:44:50.019 AM [108364|69208] [info] RASP Callsite instrumentation is disabled.
05/06/25 11:44:50.019 AM [108364|69208] [info] Callsite instrumentation is disabled.
05/06/25 11:44:50.019 AM [108364|69208] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 11:44:50.019 AM [108364|69208] [info] Profiler attached.
05/06/25 11:44:50.030 AM [108364|69208] [info] COR library: mscorlib 4.0.0
05/06/25 11:44:50.302 AM [108364|69208] [info] JITCompilationStarted: Startup hook registered in function_id=140714913612896 token=100663306 name=Fcm.Apps.DealInsight.FrmMain.Main(), assembly_name=Fcm.Apps.DealInsight app_domain_id=2586878444064 domain_neutral=0
05/06/25 11:44:50.573 AM [108364|69208] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 2586878444064 Fcm.Apps.DealInsight.exe
05/06/25 11:44:50.626 AM [108364|69208] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/06/25 11:44:50.627 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 11:44:50.629 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 11:44:50.629 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/06/25 11:44:50.629 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/06/25 11:44:50.629 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/06/25 11:44:50.635 AM [108364|69208] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
