05/16/25 11:11:23.025 AM [9708|26048] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/16/25 11:11:23.026 AM [9708|26048] [info] ProcessName: formsample.exe
05/16/25 11:11:23.026 AM [9708|26048] [info] Process CommandLine: "C:\Users\rroehl\projects\DataDog\formsample\bin\Debug\net9.0-windows\formsample.exe" 
05/16/25 11:11:23.026 AM [9708|26048] [info] Environment variables:
05/16/25 11:11:23.026 AM [9708|26048] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/16/25 11:11:23.026 AM [9708|26048] [info]   DD_ENV=forms-sample-dev
05/16/25 11:11:23.027 AM [9708|26048] [info]   DD_VERSION=7.64.3
05/16/25 11:11:23.027 AM [9708|26048] [info] Runtime Information: .NET 9.0.5
05/16/25 11:11:23.027 AM [9708|20600] [info] Initializing ReJIT request thread.
05/16/25 11:11:23.027 AM [9708|26048] [info] IAST Callsite instrumentation is disabled.
05/16/25 11:11:23.027 AM [9708|26048] [info] RASP Callsite instrumentation is disabled.
05/16/25 11:11:23.027 AM [9708|26048] [info] Callsite instrumentation is disabled.
05/16/25 11:11:23.027 AM [9708|26048] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 11:11:23.027 AM [9708|26048] [info] Profiler attached.
05/16/25 11:11:23.029 AM [9708|26048] [info] COR library: System.Private.CoreLib 9.0.0
05/16/25 11:11:23.094 AM [9708|26048] [info] JITCompilationStarted: Startup hook registered in function_id=140735812273384 token=100663298 name=formsample.Program.Main(), assembly_name=formsample app_domain_id=1604790921104 domain_neutral=0
05/16/25 11:11:23.111 AM [9708|26048] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 1604790921104 clrhost
05/16/25 11:11:23.201 AM [9708|26048] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/16/25 11:11:23.202 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 11:11:23.204 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 11:11:23.205 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 11:11:23.205 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/16/25 11:11:23.205 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/16/25 11:11:23.212 AM [9708|26048] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
05/16/25 11:11:23.215 AM [9708|26048] [info] Successfully added method DistributedTracer.__GetInstanceForProfiler__ for ModuleID=140735814003488
05/16/25 11:11:23.216 AM [9708|26048] [info] Rewriting Instrumentation.GetNativeTracerVersion() => PROFILER_VERSION
05/16/25 11:11:23.216 AM [9708|26048] [info] AssemblyLoadFinished: Datadog.Trace.dll v3.16.0.0 matched profiler version v3.16.0.0
05/16/25 11:11:23.216 AM [9708|26048] [info] ByRef Instrumentation enabled.
05/16/25 11:11:23.216 AM [9708|26048] [info] CallTargetState ByRef enabled.
05/16/25 11:11:23.216 AM [9708|26048] [info] AddTraceAttributeInstrumentation: Initialized assembly=Datadog.Trace, Version=3.16.0.0, Culture=neutral, PublicKeyToken=def86d061d0d2eeb, type=Datadog.Trace.ClrProfiler.AutoInstrumentation.TraceAnnotations.TraceAnnotationsIntegration
05/16/25 11:11:23.557 AM [9708|26048] [info] Total number of modules to analyze: 21
05/16/25 11:11:23.594 AM [9708|20600] [info] Request ReJIT done for 10 methods
05/16/25 11:11:23.594 AM [9708|26048] [info] RegisterCallTargetDefinitions: Added 718 call targets (enabled: 578, enabled categories: 1) 
05/16/25 11:11:23.595 AM [9708|42812] [info] NGEN:: Processed with 5 inliners [ModuleId=140735819180992,MethodDef=100666099]
05/16/25 11:11:23.595 AM [9708|20600] [info] Request ReJIT done for 5 methods
05/16/25 11:11:23.598 AM [9708|5188] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.HttpClientHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.HttpClientHandler.HttpClientHandlerIntegration, Arguments=2]
05/16/25 11:11:23.671 AM [9708|5188] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.SocketsHttpHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.SocketsHttpHandler.SocketsHttpHandlerIntegration, Arguments=2]
05/16/25 11:20:56.448 AM [9708|20600] [info] Exiting ReJIT request thread.
05/16/25 11:20:56.449 AM [9708|26048] [info] Exiting...
05/16/25 11:20:56.449 AM [9708|26048] [info] Stats: Total time: 573416ms | Total time in Callbacks: 281ms [Initialize=0ms, ModuleLoadFinished=42ms/68, CallTargetRequestRejit=41ms/27, CallTargetRewriter=1ms/2, AssemblyLoadFinished=0ms/68, ModuleUnloadStarted=0ms/0, JitCompilationStarted=105ms/11928, JitInlining=21ms/45759, JitCacheFunctionSearchStarted=66ms/7254, InitializeProfiler=0ms/0]
