05/16/25 10:51:53.328 AM [35184|14724] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/16/25 10:51:53.329 AM [35184|14724] [info] ProcessName: formsample.exe
05/16/25 10:51:53.329 AM [35184|14724] [info] Process CommandLine: "C:\Users\rroehl\projects\DataDog\formsample\bin\Debug\net9.0-windows\formsample.exe" 
05/16/25 10:51:53.329 AM [35184|14724] [info] Environment variables:
05/16/25 10:51:53.329 AM [35184|14724] [info]   DD_DOTNET_TRACER_HOME=C:\Program Files\Datadog\.NET Tracer\
05/16/25 10:51:53.329 AM [35184|14724] [info]   DD_ENV=dev1
05/16/25 10:51:53.329 AM [35184|14724] [info]   DD_VERSION=7.64.3
05/16/25 10:51:53.329 AM [35184|14724] [info] Runtime Information: .NET 9.0.5
05/16/25 10:51:53.330 AM [35184|29216] [info] Initializing ReJIT request thread.
05/16/25 10:51:53.330 AM [35184|14724] [info] IAST Callsite instrumentation is disabled.
05/16/25 10:51:53.330 AM [35184|14724] [info] RASP Callsite instrumentation is disabled.
05/16/25 10:51:53.330 AM [35184|14724] [info] Callsite instrumentation is disabled.
05/16/25 10:51:53.330 AM [35184|14724] [info] Profiler filepath: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 10:51:53.330 AM [35184|14724] [info] Profiler attached.
05/16/25 10:51:53.333 AM [35184|14724] [info] COR library: System.Private.CoreLib 9.0.0
05/16/25 10:51:53.377 AM [35184|14724] [info] JITCompilationStarted: Startup hook registered in function_id=140735812338920 token=100663298 name=formsample.Program.Main(), assembly_name=formsample app_domain_id=2392351649696 domain_neutral=0
05/16/25 10:51:53.386 AM [35184|14724] [info] ModuleLoadFinished: Datadog.Trace.ClrProfiler.Managed.Loader loaded into AppDomain 2392351649696 clrhost
05/16/25 10:51:53.486 AM [35184|14724] [info] ModuleLoadFinished: Datadog.Trace v3.16.0.0 - Fix PInvoke maps
05/16/25 10:51:53.486 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.ClrProfiler.NativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 10:51:53.488 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.Debugger.PInvoke.DebuggerNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 10:51:53.488 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.FaultTolerant.FaultTolerantNativeMethods+Windows: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Tracer.Native.dll
05/16/25 10:51:53.488 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Exporter: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/16/25 10:51:53.488 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.LibDatadog.NativeInterop+Config: C:\Program Files\Datadog\.NET Tracer\win-x64\datadog_profiling_ffi.dll
05/16/25 10:51:53.492 AM [35184|14724] [info] Rewriting PInvokes to native for Datadog.Trace.NativeLoader+NativeMethods: C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
05/16/25 10:51:53.493 AM [35184|14724] [info] Successfully added method DistributedTracer.__GetInstanceForProfiler__ for ModuleID=140735814069024
05/16/25 10:51:53.494 AM [35184|14724] [info] Rewriting Instrumentation.GetNativeTracerVersion() => PROFILER_VERSION
05/16/25 10:51:53.494 AM [35184|14724] [info] AssemblyLoadFinished: Datadog.Trace.dll v3.16.0.0 matched profiler version v3.16.0.0
05/16/25 10:51:53.494 AM [35184|14724] [info] ByRef Instrumentation enabled.
05/16/25 10:51:53.494 AM [35184|14724] [info] CallTargetState ByRef enabled.
05/16/25 10:51:53.494 AM [35184|14724] [info] AddTraceAttributeInstrumentation: Initialized assembly=Datadog.Trace, Version=3.16.0.0, Culture=neutral, PublicKeyToken=def86d061d0d2eeb, type=Datadog.Trace.ClrProfiler.AutoInstrumentation.TraceAnnotations.TraceAnnotationsIntegration
05/16/25 10:51:53.758 AM [35184|14724] [info] Total number of modules to analyze: 21
05/16/25 10:51:53.794 AM [35184|29216] [info] Request ReJIT done for 10 methods
05/16/25 10:51:53.794 AM [35184|14724] [info] RegisterCallTargetDefinitions: Added 718 call targets (enabled: 578, enabled categories: 1) 
05/16/25 10:51:53.794 AM [35184|19136] [info] NGEN:: Processed with 5 inliners [ModuleId=140735819246528,MethodDef=100666099]
05/16/25 10:51:53.794 AM [35184|29216] [info] Request ReJIT done for 5 methods
05/16/25 10:51:53.904 AM [35184|12276] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.HttpClientHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.HttpClientHandler.HttpClientHandlerIntegration, Arguments=2]
05/16/25 10:51:53.941 AM [35184|12276] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.SocketsHttpHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.SocketsHttpHandler.SocketsHttpHandlerIntegration, Arguments=2]
05/16/25 10:52:00.202 AM [35184|29216] [info] Exiting ReJIT request thread.
05/16/25 10:52:00.202 AM [35184|14724] [info] Exiting...
05/16/25 10:52:00.202 AM [35184|14724] [info] Stats: Total time: 6873ms | Total time in Callbacks: 243ms [Initialize=1ms, ModuleLoadFinished=29ms/63, CallTargetRequestRejit=38ms/24, CallTargetRewriter=2ms/2, AssemblyLoadFinished=0ms/63, ModuleUnloadStarted=0ms/0, JitCompilationStarted=119ms/6129, JitInlining=1ms/6768, JitCacheFunctionSearchStarted=50ms/6456, InitializeProfiler=0ms/0]
